t_now,l_now,t_nos,l_nos,t_ns,l_ns,t_nw,l_nw
-5.7006996996997,40.9154818025514,-12.7076966966967,39.2686549988448,-102.397258258258,39.1508482138198,-7.1020990990991,40.9727093437895
-5,43.5468682730489,-12.006996996997,42.1039486619466,-101.696558558559,41.9823876077887,-6.4013993993994,43.2124627169007
-4.2993003003003,43.5325349618015,-11.3062972972973,42.3939201302675,-100.995858858859,42.2687571389346,-5.7006996996997,43.2415850191418
-3.5986006006006,43.5056778486613,-10.6055975975976,42.5592677511014,-100.295159159159,42.4306531158457,-5,43.2642991158398
-2.8979009009009,43.4789202508889,-9.9048978978979,42.6736228742872,-99.5944594594595,42.541704690744,-4.2993003003003,43.246812810265
-2.1972012012012,43.4495805697723,-9.2041981981982,42.7600781597848,-98.8937597597598,42.6250021750008,-3.5986006006006,43.2196589043422
-1.4965015015015,43.4254547978581,-8.5034984984985,42.8289230311663,-98.1930600600601,42.6908325010454,-2.8979009009009,43.1952546763261
-0.795801801801801,43.3980371597487,-7.8027987987988,42.8856471316065,-97.4923603603604,42.7446826871864,-2.1972012012012,43.17698008412
-0.095102102102102,43.3719170181946,-7.1020990990991,42.9335275874481,-96.7916606606607,42.7898271103573,-1.4965015015015,43.1532121135514
0.605597597597598,43.3434256887254,-6.4013993993994,42.9746782808308,-96.090960960961,42.8283767882081,-0.795801801801802,43.1375929748583
1.3062972972973,43.3159923391519,-5.7006996996997,43.01054252867,-95.3902612612613,42.8617720677645,-0.095102102102102,43.1201369029813
2.006996996997,43.286589299416,-5,43.0421497189676,-94.6895615615616,42.8910392715706,0.605597597597598,43.1078721148544
2.7076966966967,43.265140132206,-4.2993003003003,43.0415083958213,-93.9888618618619,42.9169352171813,1.3062972972973,43.0949598432229
3.40839639639639,43.2383047866417,-3.5986006006006,43.0283330764216,-93.2881621621622,42.9400337013384,2.006996996997,43.0880104435808
4.1090960960961,43.2065065019871,-2.8979009009009,43.0153046914491,-92.5874624624625,42.9607798496816,2.7076966966967,43.0814174247024
4.8097957957958,43.1791959289078,-2.1972012012012,43.0024371147811,-91.8867627627628,42.9795256756083,3.4083963963964,43.0692758590607
5.51049549549549,43.1579852412246,-1.4965015015015,42.9900496207129,-91.1860630630631,42.9965541438865,4.1090960960961,43.0634378310814
6.21119519519519,43.1237379046059,-0.795801801801804,42.9776485302015,-90.4853633633634,43.0120959298477,4.8097957957958,43.0627940975775
6.91189489489489,43.0969812027004,-0.095102102102104,42.9658057900348,-89.7846636636637,43.026341384095,5.51049549549549,43.0574537023473
7.61259459459459,43.0678447224162,0.605597597597597,42.9543640498143,-89.083963963964,43.0394492606807,6.2111951951952,43.0528709536794
8.31329429429429,43.0488365083176,1.3062972972973,42.9437315102934,-88.3832642642643,43.0515532062538,6.91189489489489,43.0486468345568
9.01399399399399,43.0148397400302,2.006996996997,42.9328637942825,-87.6825645645646,43.0627666664195,7.61259459459459,43.0489750533277
9.71469369369369,42.9927510388125,2.7076966966967,42.9220011997448,-86.9818648648649,43.0731866515259,8.3132942942943,43.0456828225907
10.4153933933934,42.9691946940749,3.40839639639639,42.912087753628,-86.2811651651652,43.0815316909307,9.01399399399399,43.0460257186663
11.1160930930931,42.9442073066987,4.1090960960961,42.9018723691709,-85.5804654654655,43.0890369896989,9.7146936936937,43.0434808415542
11.8167927927928,42.9023816269721,4.8097957957958,42.8929854663013,-84.8797657657658,43.0960331804589,10.4153933933934,43.0441951231646
12.5174924924925,42.8906162045026,5.51049549549549,42.8833447443289,-84.1790660660661,43.1025818831492,11.1160930930931,43.0448164398561
13.2181921921922,42.8620679345997,6.2111951951952,42.8745533793785,-83.4783663663664,43.1086981567711,11.8167927927928,43.0430790494959
13.9188918918919,42.832156115632,6.9118948948949,42.865964975675,-82.7776666666667,43.1144691301464,12.5174924924925,43.043868856132
14.6195915915916,42.8008576860756,7.61259459459459,42.8576650246906,-82.076966966967,43.1198978012182,13.2181921921922,43.0445761513767
15.3202912912913,42.7688489244995,8.3132942942943,42.8497277271307,-81.3762672672673,43.1249811641897,13.9188918918919,43.0434722653928
16.020990990991,42.7546007598625,9.01399399399399,42.8422163567153,-80.6755675675676,43.1297928010755,14.6195915915916,43.0442783070526
16.7216906906907,42.7199044422071,9.71469369369369,42.8351836973727,-79.9748678678679,43.1343630113483,15.3202912912913,43.0449984746074
17.4223903903904,42.6844794823385,10.4153933933934,42.8279254168807,-79.2741681681682,43.1386775255349,16.020990990991,43.045639704016
18.1230900900901,42.6695646773462,11.1160930930931,42.8212329006588,-78.5734684684685,43.1427600836182,16.7216906906907,43.0462076286781
18.8237897897898,42.6313580386029,11.8167927927928,42.8143987351069,-77.8727687687688,43.1466742910688,17.4223903903904,43.0456297951118
19.5244894894895,42.6156527443455,12.5174924924925,42.8081922175226,-77.1720690690691,43.1503555773805,18.1230900900901,43.0461646091564
20.2251891891892,42.5762366534997,13.2181921921922,42.8026273143573,-76.4713693693694,43.15386345319,18.8237897897898,43.0466733574206
20.9258888888889,42.5598154577203,13.9188918918919,42.7970007378221,-75.7706696696697,43.1572568567067,19.5244894894895,43.0471061926533
21.6265885885886,42.5430904375471,14.6195915915916,42.7913423356992,-75.06996996997,43.1604648130469,20.2251891891892,43.0474305644349
22.3272882882883,42.5012444004038,15.3202912912913,42.78636883052,-74.3692702702703,43.1634999527674,20.9258888888889,43.047073050062
23.027987987988,42.4838931821292,16.020990990991,42.781394427701,-73.6685705705706,43.1664608965533,21.6265885885886,43.0473664151482
