F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut,logR,logd,A
0.046415888336128,8.89139705019461,3.95662763537613E+016,0.620075918777269,3630.09753608679,1.31535473731569,4.21647172307374E-21,False,16.5973251800333,-20.3750508078364,6600845264361.92
0.046415888336128,7.33899633811034,4.79356381515241E+016,0.511813258542669,4397.96356848864,1.08569930529249,2.37109629638092E-21,False,16.6806585133667,-20.6250508078364,5448365307510.93
0.068129206905796,10.7721734501594,3.91687051828475E+016,0.721496683525232,3593.62146957375,1.46990242810253,4.8080252086603E-21,False,16.592939215121,-20.3180332639767,7376412009900.27
0.1,13.0507860784127,3.87751288997653E+016,0.839506016238138,3557.51192308256,1.64260870991423,5.48257119349561E-21,False,16.5885532502088,-20.2610157201171,8243104020869.71
0.146779926762207,15.8113883008419,3.83855073629499E+016,0.976817173790075,3521.76521373458,1.83560712758948,6.25175318082899E-21,False,16.5841672852965,-20.2039981762575,9211628066284.89
0.261015721568254,19.1559342477864,4.16154892345482E+016,1.11386056975885,3818.10720783228,1.97006923831329,5.70858062960815E-21,False,16.6192550045947,-20.243471860468,9886399336443.29
0.383118684955729,23.2079441680639,4.11973270947704E+016,1.29604566578758,3779.74197629722,2.20154265216424,6.5094708029531E-21,False,16.6148690396824,-20.1864543166083,11048002472310.5
0.681292069057961,28.1170662595175,4.46639119809937E+016,1.47787549447599,4097.791649246,2.36281031527646,5.94390691057489E-21,False,16.6499567589807,-20.2259280008189,11857292057963.6
1,34.0646034528981,4.42151185786248E+016,1.71959954521415,4056.61608322647,2.64042886762113,6.77781238460221E-21,False,16.6455707940684,-20.1689104569592,13250465362895
0.023713737056617,5,5.11878967529568E+016,0.374236911064625,3505.58305534976,1.14142279228624,2.1860929757666E-21,False,16.7091672852965,-20.6603313712044,5728002507120.73
