F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut,bysecond,,,,,,,,,,,
1,0.177824015311156,8.4700060245981E+018,0.008976652150965,777099.864683397,0.013783564632805,9.64163679840081E-28,False,ruled out,,,,,,,,,,,
1,0.204745753119021,7.35629656810592E+018,0.010335675987975,674920.071018167,0.01587033290453,1.47171676420569E-27,False,ruled out,,,,,,,,,,,
0.868511373751352,0.204745753119021,6.88110453188438E+018,0.010490195194984,631322.502613378,0.016348405569897,1.7326695829703E-27,False,ruled out,,,,,,,,,,,
1,0.23574331817287,6.38902723808804E+018,0.011900449781483,586175.758052349,0.018273028292055,2.24645491147656E-27,False,ruled out,,,,,,,,,,,
0.868511373751352,0.23574331817287,5.97631754991356E+018,0.012078362485541,548310.774024887,0.018823478959502,2.64477798262389E-27,False,ruled out,,,,,,,,,,,
0.754312006335461,0.23574331817287,5.59026752061449E+018,0.012258934999173,512891.74071392,0.019390511221004,3.1137284535012E-27,False,ruled out,,,,,,,,,,,
0.868511373751352,0.271433771966193,5.19049976524975E+018,0.013906970997249,476214.143591022,0.021673267073289,4.03703663186658E-27,False,ruled out,,,,,,,,,,,
0.754312006335461,0.271433771966193,4.85521092396646E+018,0.01411488135869,445452.31031317,0.022326145410452,4.75285105632898E-27,False,ruled out,,,,,,,,,,,
0.655128556859551,0.271433771966193,4.54158061503525E+018,0.014325899997153,416677.588084726,0.022998690838954,5.59558785900909E-27,False,ruled out,,,,,,,,,,,
0.754312006335461,0.312527596263699,4.21680590942668E+018,0.016251809458434,386880.397970805,0.025706221110288,7.25483724768835E-27,False,ruled out,,,,,,,,,,,
0.655128556859551,0.312527596263699,3.94441441896677E+018,0.016494775347933,361889.224438865,0.026480586822503,8.54120584489907E-27,False,ruled out,,,,,,,,,,,
0.568986602901829,0.312527596263699,3.68961850337292E+018,0.016741373597483,338512.396730026,0.027278279271607,1.00556628349152E-26,False,ruled out,,,,,,,,,,,
0.655128556859551,0.359842836500576,3.42576878566148E+018,0.018992008448533,314304.90746321,0.030489625838894,1.30374500629961E-26,False,ruled out,,,,,,,,,,,
0.568986602901829,0.359842836500576,3.20447563498283E+018,0.019275940538548,294001.866715857,0.03140808525487,1.53491444230708E-26,False,ruled out,,,,,,,,,,,
0.494171336132383,0.359842836500576,2.99747727814498E+018,0.019564117436686,275010.334168983,0.032354212038863,1.80707295814672E-26,False,ruled out,,,,,,,,,,,
0.568986602901829,0.414321386427342,2.78312353589167E+018,0.022194229253774,255343.965146851,0.03616312486411,2.34292098281428E-26,False,ruled out,,,,,,,,,,,
0.494171336132383,0.414321386427342,2.60334310863016E+018,0.022526034808482,238849.603124922,0.037252490890379,2.75834863131166E-26,False,ruled out,,,,,,,,,,,
0.429193426012878,0.414321386427342,2.43517589278723E+018,0.022862800883553,223420.721457518,0.038374672618933,3.24743652375323E-26,False,ruled out,,,,,,,,,,,
0.494171336132383,0.477047738174997,2.2610330996225E+018,0.025936372843554,207443.596929992,0.042892346624633,4.21039291056733E-26,False,ruled out,,,,,,,,,,,
0.429193426012878,0.477047738174997,2.11497795997082E+018,0.026324123753039,194043.437717587,0.044184421504098,4.95694545711801E-26,False,ruled out,,,,,,,,,,,
0.372759372031494,0.477047738174997,1.97835749149764E+018,0.026717671570547,181508.883756804,0.045515418420371,5.83587061510895E-26,False,ruled out,,,,,,,,,,,
0.429193426012878,0.549270570993779,1.83688241346809E+018,0.030309474980549,168528.932659537,0.050873739641718,7.56637060805259E-26,False,ruled out,,,,,,,,,,,
0.372759372031494,0.549270570993779,1.7182259827119E+018,0.030762604127043,157642.529979696,0.052406243367633,8.90797776101228E-26,False,ruled out,,,,,,,,,,,
0.323745754281764,0.549270570993779,1.60723435861757E+018,0.031222507591585,147459.352327377,0.053984911729497,1.04874677571619E-25,False,ruled out,,,,,,,,,,,
0.372759372031494,0.632427608427648,1.49229880866038E+018,0.035419920863178,136914.330274305,0.060340307509475,1.35972973056065E-25,False,ruled out,,,,,,,,,,,
0.323745754281764,0.632427608427648,1.39590132074332E+018,0.035949451596386,128070.124662335,0.062157978998387,1.60082592147029E-25,False,ruled out,,,,,,,,,,,
0.281176869797423,0.632427608427648,1.30573078658565E+018,0.036486898857654,119797.225010451,0.064030405422731,1.88467132346555E-25,False,ruled out,,,,,,,,,,,
0.323745754281764,0.728174238750622,1.21235617370011E+018,0.041392033176387,111230.359906992,0.071568411050173,2.4435294488521E-25,False,ruled out,,,,,,,,,,,
0.281176869797423,0.728174238750622,1.13404203920693E+018,0.042010847480392,104045.252465427,0.073724314220739,2.87679617035775E-25,False,ruled out,,,,,,,,,,,
0.244205309454865,0.728174238750622,1.06078673461413E+018,0.042638913109192,97324.2788178184,0.075945161106175,3.38688621480409E-25,False,ruled out,,,,,,,,,,,
0.281176869797423,0.838416468405504,9.849284093634E+017,0.048371096510728,90364.485151054,0.084885836212257,4.39119336233497E-25,False,ruled out,,,,,,,,,,,
0.244205309454865,0.838416468405504,9.21305344136933E+017,0.049094248386204,84527.2430954231,0.087442909098756,5.16980397105507E-25,False,ruled out,,,,,,,,,,,
0.212095088792019,0.838416468405504,8.6179211510803E+017,0.049828211441758,79067.0672595474,0.090077010404113,6.08647146545263E-25,False,ruled out,,,,,,,,,,,
0.244205309454865,0.965348864441625,8.00164170080831E+017,0.056526891725265,73412.8720202205,0.100681363240028,7.89128166819233E-25,False,ruled out,,,,,,,,,,,
