F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,RuledOut
0.01,0.5,3.4004446205879E+017,0.040984562554781,31198.1484597756,0.102186557926173,False
0.01,0.605763829314294,2.80674122160538E+017,0.049653931111911,25751.0823113118,0.123801841267611,False
0.01,0.733899633811035,2.31669595127735E+017,0.060157110901719,21255.051114938,0.149989354884856,False
0.01,0.889139705019461,1.9122105341778E+017,0.07288200372062,17544.0081483555,0.181716251942862,False
0.01,1.07721734501594,1.57834657802395E+017,0.088298563323803,14480.8977520288,0.220154265251099,False
0.01,1.30507860784127,1.30277387130442E+017,0.106976151683955,11952.5936109628,0.266722981516761,False
0.01,1.58113883008419,1.07531500583249E+017,0.129604566578759,9865.72079129649,0.323142269299438,False
0.01,1.91559342477864,8.87569506295639E+016,0.157019517094736,8143.20723182183,0.391495796928276,False
0.01,2.32079441680639,7.32603585212689E+016,0.190233487904778,6721.43733065053,0.474307986215448,False
0.01,2.81170662595175,6.04694065376909E+016,0.230473132194025,5547.90250373565,0.574637244008443,False
0.01,3.40646034528981,4.99117012368833E+016,0.279224574223824,4579.26194604232,0.696188914794333,False
0.01,4.12702092634009,4.11973270947704E+016,0.338288294640954,3779.7419757019,0.843452125903957,False
0.01,5,3.4004446205879E+016,0.409845625547813,3119.81484597756,1.02186557926173,False
0.01,6.05763829314294,2.80674122160538E+016,0.496539311119111,2575.10823113118,1.2380184126761,False
0.01,7.33899633811034,2.31669595127735E+016,0.601571109017189,2125.5051114938,1.49989354884856,False
0.01,8.89139705019461,1.9122105341778E+016,0.728820037206199,1754.40081483555,1.81716251942862,False
0.01,10.7721734501594,1.57834657802395E+016,0.882985633238027,1448.08977520288,2.20154265251099,False
0.01,13.0507860784127,1.30277387130442E+016,1.06976151683955,1195.25936109628,2.66722981516761,False
0.01,15.8113883008419,1.07531500583249E+016,1.29604566578759,986.572079129649,3.23142269299438,False
0.01,19.1559342477864,8875695062956386,1.57019517094736,814.320723182183,3.91495796928276,False
0.01,23.2079441680639,7326035852126891,1.90233487904777,672.143733065053,4.74307986215448,False
0.01,28.1170662595175,6046940653769087,2.30473132194025,554.790250373565,5.74637244008443,False
0.01,34.0646034528981,4991170123688333,2.79224574223824,457.926194604232,6.96188914794333,False
0.01,41.2702092634009,4119732709477044,3.38288294640954,377.97419757019,8.43452125903956,False
0.01,50,3.4004446205879E+015,4.09845625547813,311.981484597756,10.2186557926173,False
0.012115276586286,0.5,3.72399758404612E+017,0.040165055759943,34166.6583209433,0.098140871645525,False
0.012115276586286,0.605763829314294,3.07380319179966E+017,0.048661075963531,28201.3027747289,0.118900380440472,False
0.012115276586286,0.733899633811035,2.53713001920163E+017,0.058954239428444,23277.4733402718,0.144051099525093,False
0.012115276586286,0.889139705019461,2.09415773641815E+017,0.071424691660972,19213.3239175251,0.17452189133051,False
0.012115276586286,1.07721734501594,1.72852656025094E+017,0.086532989456286,15858.7579744353,0.211438098383086,False
0.012115276586286,1.30507860784127,1.42673305717806E+017,0.104837110110107,13089.8852052515,0.256163104278941,False
0.012115276586286,1.58113883008419,1.17763143665501E+017,0.127013058549085,10804.4460330925,0.310348685954097,False
0.012115276586286,1.91559342477864,9.72021916518231E+016,0.153879833439229,8918.03497521698,0.375996016852426,False
0.012115276586286,2.32079441680639,8.02310958066389E+016,0.186429674316786,7360.98339291067,0.455529573950895,False
0.012115276586286,2.81170662595175,6.62230822674391E+016,0.225864706823906,6075.78650019684,0.551886678164806,False
0.012115276586286,3.40646034528981,5.46608092648925E+016,0.2736413394252,5014.9796060574,0.668625975025317,False
0.012115276586286,4.12702092634009,4.51172607373792E+016,0.331524051257803,4139.38515587354,0.810058862020679,False
0.012115276586286,5,3.72399758404612E+016,0.40165055759943,3416.66583209433,0.981408716455252,False
0.012115276586286,6.05763829314294,3.07380319179966E+016,0.486610759635305,2820.13027747289,1.18900380440472,False
0.012115276586286,7.33899633811034,2.53713001920163E+016,0.589542394284439,2327.74733402718,1.44051099525093,False
0.012115276586286,8.89139705019461,2.09415773641815E+016,0.714246916609719,1921.33239175251,1.7452189133051,False
0.012115276586286,10.7721734501594,1.72852656025094E+016,0.865329894562862,1585.87579744353,2.11438098383086,False
0.012115276586286,13.0507860784127,1.42673305717806E+016,1.04837110110107,1308.98852052515,2.56163104278941,False
0.012115276586286,15.8113883008419,1.17763143665501E+016,1.27013058549085,1080.44460330925,3.10348685954097,False
0.012115276586286,19.1559342477864,9.72021916518232E+015,1.53879833439229,891.803497521699,3.75996016852426,False
0.012115276586286,23.2079441680639,8023109580663889,1.86429674316786,736.098339291067,4.55529573950895,False
0.012115276586286,28.1170662595175,6622308226743907,2.25864706823906,607.578650019684,5.51886678164806,False
0.012115276586286,34.0646034528981,5466080926489252,2.736413394252,501.49796060574,6.68625975025317,False
0.012115276586286,41.2702092634009,4511726073737917,3.31524051257803,413.938515587354,8.10058862020679,False
0.012115276586286,50,3723997584046120,4.0165055759943,341.666583209433,9.81408716455252,False
0.014677992676221,0.5,4.07833667456807E+017,0.039361935412707,37417.6224696534,0.094255358853579,False
0.014677992676221,0.605763829314294,3.36627616012053E+017,0.047688073449646,30884.6621892306,0.114192974225074,False
0.014677992676221,0.733899633811035,2.77853843133144E+017,0.057775419970958,25492.3294315798,0.138347946694739,False
0.014677992676221,0.889139705019461,2.29341725014901E+017,0.069996519283698,21041.4754050571,0.16761236393515,False
0.014677992676221,1.07721734501594,1.89299619683886E+017,0.084802719119929,17367.7218635482,0.203067014835555,False
